coachID,year,tmID,stint,won,lost,W/L Ratio
adamsmi01w,5,WAS,0,17,17,1.0
adubari99w,1,NYL,0,20,12,1.6666666666666667
adubari99w,2,NYL,0,21,11,1.9090909090909092
adubari99w,3,NYL,0,18,14,1.2857142857142858
adubari99w,4,NYL,0,16,18,0.8888888888888888
adubari99w,5,NYL,1,7,9,0.7777777777777778
adubari99w,6,WAS,0,16,18,0.8888888888888888
adubari99w,7,WAS,0,18,16,1.125
adubari99w,8,WAS,1,0,4,0.0
aglerbr99w,1,MIN,0,15,17,0.8823529411764706
aglerbr99w,2,MIN,0,12,20,0.6
aglerbr99w,3,MIN,1,6,13,0.46153846153846156
aglerbr99w,9,SEA,0,22,12,1.8333333333333333
aglerbr99w,10,SEA,0,20,14,1.4285714285714286
allenso99w,1,SAC,0,21,11,1.9090909090909092
allenso99w,2,SAC,1,6,6,1.0
bibbyhe01w,6,LAS,1,13,15,0.8666666666666667
boguemu01w,6,CHA,2,3,7,0.42857142857142855
boguemu01w,7,CHA,0,11,23,0.4782608695652174
bouceje01w,8,SAC,0,19,15,1.2666666666666666
bouceje01w,9,SAC,0,18,16,1.125
bouceje01w,10,SAC,1,3,10,0.3
brownde01w,3,ORL,0,16,16,1.0
brownde01w,5,SAS,2,6,20,0.3
bryanjo01w,6,LAS,2,4,2,2.0
bryanjo01w,7,LAS,0,25,9,2.7777777777777777
chancva99w,1,HOU,0,27,5,5.4
chancva99w,2,HOU,0,19,13,1.4615384615384615
chancva99w,3,HOU,0,24,8,3.0
chancva99w,4,HOU,0,20,14,1.4285714285714286
chancva99w,5,HOU,0,13,21,0.6190476190476191
chancva99w,6,HOU,0,19,15,1.2666666666666666
chancva99w,7,HOU,0,18,16,1.125
coopecy01w,2,PHO,0,13,19,0.6842105263157895
coopecy01w,3,PHO,1,6,4,1.5
coopemi01w,1,LAS,0,28,4,7.0
coopemi01w,2,LAS,0,28,4,7.0
coopemi01w,3,LAS,0,25,7,3.5714285714285716
coopemi01w,4,LAS,0,24,10,2.4
coopemi01w,5,LAS,1,14,6,2.3333333333333335
coopemi01w,8,LAS,0,10,24,0.4166666666666667
coopemi01w,9,LAS,0,20,14,1.4285714285714286
coopemi01w,10,LAS,0,18,16,1.125
cowenda01w,7,CHI,0,5,29,0.1724137931034483
coylepa99w,5,NYL,2,11,7,1.5714285714285714
coylepa99w,6,NYL,0,18,16,1.125
coylepa99w,7,NYL,0,11,23,0.4782608695652174
coylepa99w,8,NYL,0,16,18,0.8888888888888888
coylepa99w,9,NYL,0,19,15,1.2666666666666666
coylepa99w,10,NYL,1,6,11,0.5454545454545454
dailesh99w,4,SAS,2,6,6,1.0
dailesh99w,5,SAS,1,3,5,0.6
darscna99w,1,WAS,1,9,11,0.8181818181818182
donovan99w,1,IND,0,9,23,0.391304347826087
donovan99w,2,CHA,0,18,14,1.2857142857142858
donovan99w,3,CHA,0,18,14,1.2857142857142858
donovan99w,4,SEA,0,18,16,1.125
donovan99w,5,SEA,0,20,14,1.4285714285714286
donovan99w,6,SEA,0,20,14,1.4285714285714286
donovan99w,7,SEA,0,18,16,1.125
donovan99w,8,SEA,0,17,17,1.0
donovan99w,10,NYL,2,7,10,0.7
