bioID,pos,height,weight,college,collegeOther,birthDate,age
abrahta01w,C,74.0,190.0,George Washington,,1975-09-27,48.04
abrossv01w,F,74.0,169.0,Connecticut,,1980-07-09,43.26
adairje01w,C,76.0,197.0,George Washington,,1986-12-19,36.81
adamsda01w,F-C,73.0,239.0,Texas A&M,Jefferson College (JC),1989-02-19,34.64
adamsjo01w,C,75.0,180.0,New Mexico,,1981-05-24,42.38
aguilel01w,G,67.0,165.0,George Washington,,1976-10-15,46.99
ajavoma01w,G,68.0,160.0,Rutgers,,1986-05-07,37.43
alberma01w,G,64.0,129.07304465363057,Ohio State,,1975-04-12,48.5
aldrima01w,G,71.0,153.0,UNC Charlotte,,1973-09-15,50.07
alexaer01w,G,67.0,140.0,California-Santa Barbara,,1975-04-25,48.46
alhalta01w,F-G,72.0,149.0,DePaul,,1974-10-17,48.98
allench01w,G,71.0,135.0,Notre Dame,,1986-07-23,37.22
amachma01w,F,73.0,175.0,,,1978-01-30,45.69
ambermo01w,F,76.0,169.0,Arizona State,,1970-12-21,52.8
anderam01w,F,72.0,167.0,Brigham Young,,1984-03-14,39.58
anderch01w,C,78.0,190.0,Vanderbilt,,1981-01-22,42.72
anderjo01w,G,68.0,166.0,Wisconsin,,1986-07-22,37.22
anderke01w,G,67.0,125.0,Wisconsin,,1974-05-17,49.4
andrame01w,F,71.0,165.0,Old Dominion,,1975-12-31,47.78
angelyv01w,G,68.0,160.0,Ohio State,,1963-10-14,59.99
anosini01w,C,75.0,211.0,Tennessee,,1986-02-27,37.62
appelja01w,C,76.0,210.0,Stanford,,1988-05-14,35.41
arcaija01w,G,71.0,147.0,none,,1969-04-11,54.5
artiska01w,F,73.0,155.0,Northeastern,,1973-07-09,50.26
askamma01w,C,77.0,198.0,none,,1970-08-07,53.18
atkinla01w,G-F,72.0,172.0,North Carolina,,1984-03-22,39.55
atunrmo01w,G-F,70.0,143.0,Texas A&M,,1986-04-14,37.49
augusse01w,F,72.0,179.0,Louisiana State,,1984-04-30,39.45
aycocan01w,G-F,74.0,172.0,Kansas,,1973-02-28,50.61
ayimmi01w,F,75.0,181.78410297824763,Pepperdine,,1988-05-06,35.43
