year,tmID,confID,seed,results,playoff,o_fga,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,win_ratio,homeW_ratio,awayW_ratio,min,o_fg%,o_ft%,o_3p%,d_fg%,d_ft%,d_3p%
9,ATL,EA,7,label0,N,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.118,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26
10,ATL,EA,2,label1,Y,2428,755,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,0.529,0.706,0.353,6950,44.85,75.36,30.48,42.15,77.32,34.15
1,CHA,EA,8,label0,N,1903,577,386,305,630,935,551,713,222,496,90,2186,879,1930,533,716,138,423,326,664,990,596,596,259,426,123,2429,0.25,0.312,0.188,6475,42.67,74.7,33.94,45.54,74.44,32.62
2,CHA,EA,4,label3,Y,1780,528,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,0.562,0.688,0.438,6500,41.91,77.65,35.75,39.65,76.69,30.89
3,CHA,EA,2,label1,Y,1790,663,527,302,653,955,496,647,241,408,105,2241,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,2133,0.562,0.688,0.438,6450,43.02,73.91,40.04,43.05,74.25,35.75
4,CHA,EA,2,label1,Y,1881,590,517,342,629,971,499,697,279,497,115,2217,790,1902,477,667,138,407,386,621,1007,491,606,264,469,104,2195,0.529,0.765,0.294,6850,41.84,77.29,36.17,41.54,71.51,33.91
5,CHA,EA,5,label0,N,1744,590,459,256,616,872,426,648,210,479,134,2092,800,1932,438,587,130,349,368,628,996,516,595,243,437,114,2168,0.471,0.588,0.353,6900,42.72,73.9,36.17,41.41,74.62,37.25
6,CHA,EA,6,label0,N,1913,624,301,316,609,925,493,727,284,535,113,2095,851,1888,509,713,124,339,355,700,1055,496,654,269,534,146,2335,0.176,0.294,0.059,6945,40.36,71.63,34.55,45.07,71.39,36.58
7,CHA,EA,6,label0,N,2178,777,544,347,747,1094,527,734,315,574,155,2456,911,2149,594,791,155,465,370,870,1240,522,707,286,619,125,2571,0.324,0.412,0.235,6825,39.67,71.04,32.35,42.39,75.09,33.33
7,CHI,EA,7,label0,N,2175,643,536,357,680,1037,509,674,277,527,125,2322,971,2147,545,736,200,536,379,860,1239,623,584,262,535,120,2687,0.147,0.176,0.118,6800,39.45,69.83,29.29,45.23,74.05,37.31
8,CHI,EA,6,label0,N,2277,723,544,383,782,1165,597,634,262,510,112,2525,963,2243,501,642,184,481,379,846,1225,584,683,242,566,138,2611,0.412,0.353,0.471,6972,40.62,67.63,34.19,42.93,78.04,38.25
9,CHI,EA,5,label0,N,2100,812,341,357,770,1127,548,639,269,525,149,2472,917,2203,506,655,170,508,366,794,1160,531,681,255,522,124,2510,0.353,0.471,0.235,6875,42.81,69.46,32.26,41.63,77.25,33.46
10,CHI,EA,5,label0,N,2136,693,471,307,776,1083,532,605,249,532,138,2573,1004,2269,479,613,206,593,359,797,1156,610,636,273,489,121,2693,0.471,0.706,0.235,6825,43.54,76.05,39.49,44.25,78.14,34.74
1,CLE,EA,2,label2,Y,1828,570,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,0.531,0.812,0.25,6500,44.26,74.74,34.64,43.95,78.04,32.34
2,CLE,EA,1,label1,Y,1770,505,335,297,662,959,503,532,267,444,83,2004,664,1745,328,444,132,417,297,594,891,434,597,225,496,127,1788,0.688,0.875,0.5,6425,43.11,73.66,31.64,38.05,73.87,31.65
3,CLE,EA,7,label0,N,1820,553,374,295,674,969,480,567,221,451,83,2071,797,1834,397,521,149,441,278,640,918,530,613,242,428,109,2140,0.312,0.25,0.375,6550,41.76,77.76,32.35,43.46,76.2,33.79
4,CLE,EA,4,label1,Y,1975,643,425,349,720,1069,517,639,226,466,86,2229,809,1927,465,607,127,355,300,704,1004,510,659,223,467,135,2210,0.5,0.647,0.353,6825,41.27,72.16,31.76,41.98,76.61,35.77
4,CON,EA,3,label2,Y,2102,646,549,333,762,1095,520,663,270,434,111,2384,864,2104,509,673,172,536,366,812,1178,553,669,252,476,88,2409,0.529,0.588,0.471,6875,41.1,74.15,32.24,41.06,75.63,32.09
5,CON,EA,1,label3,Y,2051,590,467,321,724,1045,572,610,299,462,96,2335,858,1996,443,599,145,384,306,757,1063,565,627,239,492,113,2304,0.529,0.588,0.471,6900,42.71,73.56,31.91,42.99,73.96,37.76
6,CON,EA,1,label4,Y,2025,688,373,322,788,1110,573,624,236,452,130,2474,835,2100,452,599,122,400,350,728,1078,495,675,258,442,79,2244,0.765,0.824,0.706,6800,45.23,74.42,34.85,39.76,75.46,30.5
7,CON,EA,1,label2,Y,2216,675,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,0.765,0.824,0.706,6825,44.31,80.74,34.12,40.22,71.6,32.09
8,CON,EA,3,label1,Y,2327,615,572,354,868,1222,619,641,272,540,156,2675,976,2317,475,626,166,485,337,842,1179,581,633,246,524,85,2593,0.529,0.471,0.588,6925,43.02,77.72,34.09,42.12,75.88,34.23
9,CON,EA,2,label1,Y,2286,723,669,370,869,1239,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,1200,554,703,252,499,104,2541,0.618,0.765,0.471,6850,42.21,74.55,33.03,41.81,73.98,32.06
10,CON,EA,6,label0,N,2381,692,639,358,826,1184,608,677,250,453,130,2651,953,2236,591,746,157,488,329,945,1274,525,684,248,549,125,2654,0.471,0.706,0.235,6975,40.57,74.71,31.61,42.62,79.22,32.17
1,DET,EA,5,label0,N,1980,699,273,341,644,985,503,701,260,530,88,2331,905,1967,480,652,136,372,331,640,971,513,672,284,543,148,2426,0.438,0.5,0.375,6425,43.84,74.25,27.84,46.01,73.62,36.56
2,DET,EA,7,label0,N,1914,542,405,324,621,945,469,602,225,498,82,2103,848,1837,446,583,127,340,279,702,981,438,591,262,483,109,2269,0.312,0.375,0.25,6550,40.44,76.01,35.31,46.16,76.5,37.35
3,DET,EA,8,label0,N,1919,651,364,360,719,1079,478,609,201,541,132,2114,828,1984,464,605,146,447,314,669,983,465,637,277,443,139,2266,0.281,0.438,0.125,6450,39.92,72.5,30.22,41.73,76.69,32.66
