,year,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,fgMade,threeMade,dq,mpg,ppg,apg,rpg,spg,bpg,pfpg,fg%,3p%,ft%,orpg,drpg,percentage_pointsFromFieldGoal,percentage_pointsFromFreeThrow,height,weight,coachStint,coachWon,coachLost,coach W/L Ratio,playoff,o_fga,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,homeW_ratio,awayW_ratio,min,o_fg%,o_ft%,o_3p%,d_fg%,d_ft%,d_3p%,confID_EA,confID_WE,tmID_encoded,playerID_encoded,coachID_encoded
0,9,82,20,82,11,15,29,10,37,30,1,0,22.88235294117647,4.823529411764706,0.6470588235294118,6.0,0.8823529411764706,1.7058823529411764,2.176470588235294,40.54054054054054,33.33333333333333,67.74193548387096,1.1764705882352942,4.823529411764706,35.36585365853659,25.60975609756097,79.0,218.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,25,36
1,9,269,10,55,52,27,6,57,39,96,29,0,23.13793103448276,9.275862068965518,1.793103448275862,2.2413793103448274,0.9310344827586208,0.2068965517241379,1.3448275862068966,35.294117647058826,30.85106382978724,81.35593220338984,0.3448275862068966,1.896551724137931,24.907063197026023,17.843866171003718,72.0,140.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,85,36
2,9,112,39,40,8,17,21,20,48,48,0,2,23.08333333333333,9.333333333333334,0.6666666666666666,6.583333333333333,1.4166666666666667,1.75,4.0,58.53658536585365,0.0,61.53846153846154,3.25,3.333333333333333,42.85714285714285,14.285714285714285,77.0,190.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,122,36
3,9,94,15,41,82,30,4,47,41,30,10,0,14.727272727272728,2.8484848484848486,2.484848484848485,1.696969696969697,0.9090909090909092,0.1212121212121212,1.2424242424242424,31.57894736842105,31.25,75.0,0.4545454545454545,1.2424242424242424,21.27659574468085,25.53191489361702,69.0,147.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,199,36
4,9,189,35,54,27,18,6,37,97,74,4,1,18.33333333333333,5.727272727272728,0.8181818181818182,2.696969696969697,0.5454545454545454,0.1818181818181818,2.9393939393939394,38.94736842105263,19.047619047619047,67.27272727272727,1.0606060606060606,1.6363636363636365,37.03703703703704,19.576719576719576,75.0,175.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,261,36
5,9,388,13,59,123,45,1,61,83,124,55,0,28.23529411764705,11.411764705882351,3.6176470588235294,2.117647058823529,1.3235294117647058,0.0294117647058823,2.4411764705882355,36.15160349854227,34.375,80.18867924528303,0.3823529411764705,1.7352941176470589,17.783505154639176,21.90721649484536,66.0,143.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,268,36
6,9,595,36,107,81,45,3,114,92,207,63,0,29.705882352941178,17.5,2.3823529411764706,4.205882352941177,1.3235294117647058,0.088235294117647,2.7058823529411766,41.48296593186373,35.79545454545455,85.5072463768116,1.0588235294117647,3.147058823529412,24.201680672268907,19.831932773109244,68.0,143.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,273,36
7,9,62,18,22,9,10,7,18,34,21,4,0,17.0,4.769230769230769,0.6923076923076923,3.076923076923077,0.7692307692307693,0.5384615384615384,2.6153846153846154,42.0,40.0,59.25925925925925,1.3846153846153846,1.6923076923076923,27.41935483870968,25.806451612903224,74.0,180.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,280,36
8,9,91,20,34,15,17,10,18,34,36,10,2,17.2,6.066666666666666,1.0,3.6,1.1333333333333333,0.6666666666666666,2.2666666666666666,40.44943820224719,41.66666666666667,69.23076923076923,1.3333333333333333,2.2666666666666666,28.57142857142857,9.89010989010989,76.0,170.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,283,36
9,9,45,9,10,14,8,4,14,23,18,4,0,17.153846153846153,3.4615384615384617,1.0769230769230769,1.4615384615384617,0.6153846153846154,0.3076923076923077,1.7692307692307692,40.909090909090914,50.0,100.0,0.6923076923076923,0.7692307692307693,31.11111111111111,11.11111111111111,73.0,185.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,297,36
10,9,16,6,6,2,5,0,4,11,6,2,0,7.0,1.3333333333333333,0.1666666666666666,1.0,0.4166666666666667,0.0,0.9166666666666666,23.07692307692308,18.181818181818183,66.66666666666666,0.5,0.5,25.0,12.5,72.0,156.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,352,36
11,9,39,5,8,7,5,3,3,17,12,7,0,7.619047619047619,1.8571428571428568,0.3333333333333333,0.6190476190476191,0.238095238095238,0.1428571428571428,0.8095238095238095,35.294117647058826,36.84210526315789,66.66666666666666,0.238095238095238,0.3809523809523809,12.82051282051282,20.51282051282051,75.0,166.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,456,36
12,9,92,27,37,10,10,11,37,52,36,0,0,13.75,4.6,0.5,3.2,0.5,0.55,2.6,47.368421052631575,0.0,60.60606060606061,1.35,1.85,39.130434782608695,21.73913043478261,75.0,183.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,468,36
13,9,240,44,95,41,30,10,59,97,80,13,2,22.57575757575757,7.272727272727272,1.2424242424242424,4.212121212121212,0.9090909090909092,0.303030303030303,2.9393939393939394,33.33333333333333,32.5,69.0721649484536,1.3333333333333333,2.878787878787879,27.916666666666668,27.916666666666668,74.0,166.0,0,4,30,0.1333333333333333,0,2258,725,598,340,737,1077,492,796,285,593,142,2534,1014,2254,679,918,172,502,401,864,1265,684,726,310,561,134,2879,0.059,0.176,6825,39.64,74.76,33.78,44.99,73.97,34.26,True,False,0,548,36
14,10,488,20,55,67,36,2,83,75,184,49,0,26.91176470588235,14.352941176470589,1.9705882352941173,2.2058823529411766,1.0588235294117647,0.0588235294117647,2.2058823529411766,41.34831460674157,34.50704225352113,78.02197802197803,0.5882352941176471,1.6176470588235294,27.66393442622951,14.549180327868852,72.0,140.0,0,18,16,1.125,1,2428,755,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,0.706,0.353,6950,44.85,75.36,30.48,42.15,77.32,34.15,True,False,0,85,36
15,10,402,119,190,38,32,44,70,117,170,0,1,27.294117647058822,11.823529411764708,1.1176470588235294,9.088235294117649,0.9411764705882352,1.2941176470588236,3.4411764705882355,52.79503105590062,0.0,65.26315789473685,3.5,5.588235294117647,42.28855721393035,15.422885572139302,77.0,190.0,0,18,16,1.125,1,2428,755,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,0.706,0.353,6950,44.85,75.36,30.48,42.15,77.32,34.15,True,False,0,122,36
16,10,348,29,80,56,34,7,74,60,132,6,0,28.32,13.92,2.24,4.36,1.36,0.28,2.4,41.37931034482759,20.0,83.87096774193549,1.16,3.2,36.206896551724135,22.41379310344828,74.0,172.0,0,18,16,1.125,1,2428,755,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,0.706,0.353,6950,44.85,75.36,30.48,42.15,77.32,34.15,True,False,0,212,36
